parça (model adı);kalem;adet;tanım / ürün;not / ölçü;tür
flap_katlayici_kaplini;Kaplin (kavramalı) Ø25 × 30;1;8 × 12 / 8 × 10 delik;MISUMI MCKL / Ruland · katalog;SATIN ALMA
flap_katlayici_motor_braketi;flap katlayici motor braketi;1;alüminyum 6082 · CNC;zarf 60.0 × 6.3 × 60.0;ÜRETİM
flap_katlayici_yatak_braketi;flap katlayici yatak braketi;1;alüminyum 6082 · CNC;zarf 60.0 × 8.1 × 60.0;ÜRETİM
flap_katlayici_braket_ayagi;flap katlayici braket ayagi;1;alüminyum 6082 · CNC;zarf 10.0 × 132.0 × 60.0;ÜRETİM
flap_katlayici_sensor;Endüktif sensör Omron E2E-X2D1-N;1;M8 · 2 mm · DC 2 telli;omron.com E2E · katalog ölçüsü;SATIN ALMA
kapak_kolu;Kapak kolu 304 + makara Ø20 (POM);1;R 166 · kapağı 85° dik tutar, 100° yatırır;üretim;ÜRETİM
kapak_kolu_mili;kapak kolu mili;1;304 / S235 · lazer / torna;zarf 12.1 × 12.0 × 82.1;ÜRETİM
kol_yatagi_0;Flanşlı yatak KFL001 (Ø12);2;kol mili;katalog;SATIN ALMA
kol_yatak_ayagi_0;kol yatak ayagi 0;1;alüminyum 6082 · CNC;zarf 36.0 × 62.0 × 10.0;ÜRETİM
kol_yatagi_1;kol yatagi 1;1;304 / S235 · lazer / torna;zarf 36.0 × 36.0 × 10.1;ÜRETİM
kol_yatak_ayagi_1;kol yatak ayagi 1;1;alüminyum 6082 · CNC;zarf 36.0 × 62.0 × 10.0;ÜRETİM
kol_reduktoru;Planet redüktör SureGear PGCN23-1025;1;10:1 · 5 N·m · NEMA 23;adcpn.com/pn/PGCN23-1025 · TraceParts STEP;SATIN ALMA
kol_motoru;Step motor AutomationDirect SureStep STP-MTR-23079;1;NEMA 23 · 1,95 N·m (276 oz-in) · 2,8 A;automationdirect.com STP-MTR-23079 · TraceParts STEP;SATIN ALMA
kol_reduktor_braketi;kol reduktor braketi;1;alüminyum 6082 · CNC;zarf 60.0 × 51.0 × 10.0;ÜRETİM
kol_sensor;Endüktif sensör Omron E2E-X2D1-N;1;M8 · 2 mm · DC 2 telli;omron.com E2E · katalog ölçüsü;SATIN ALMA
pano_plakasi;pano plakasi;1;304 sac · lazer + büküm;zarf 720.0 × 460.0 × 4.0;ÜRETİM
din_rayi_0;DIN ray 35 × 7,5;2;boy 700;EN 60715;SATIN ALMA
din_rayi_1;din rayi 1;1;304 / S235 · lazer / torna;zarf 700.0 × 35.0 × 7.0;ÜRETİM
plc_S7-1200_1214C;PLC Siemens S7-1200 CPU 1214C DC/DC/DC;1;"6ES7214-1AG40-0XB0 · 4 PTO ekseni (7 sürücü enable ile paylaşır; aynı anda en çok 3 eksen döner)";110 × 100 × 75;SATIN ALMA
plc_SM1221_DI16;Siemens SM1221 DI16;1;6ES7221-1BH32-0XB0;45 × 100 × 75;SATIN ALMA
plc_SM1222_DQ16;Siemens SM1222 DQ16;1;6ES7222-1BH32-0XB0 · yön + enable;45 × 100 × 75;SATIN ALMA
guc_24V_NDR-240-24;Güç kaynağı Mean Well NDR-240-24;1;24 V 10 A · PLC + sensör;TraceParts STEP;SATIN ALMA
guc_48V_NDR-240-48_a;Güç kaynağı Mean Well NDR-240-48;2;48 V 5 A · step sürücüler;NDR-240 gövdesi (STEP 24 V ile aynı);SATIN ALMA
guc_48V_NDR-240-48_b;guc 48V NDR-240-48 b;1;alüminyum 6082 · CNC;zarf 63.0 × 125.2 × 122.8;ÜRETİM
surucu_STP-DRV-4830_0;Step sürücü AutomationDirect SureStep STP-DRV-4830;7;3 A/faz · 12–48 VDC · adım/yön;automationdirect.com · TraceParts STEP;SATIN ALMA
surucu_STP-DRV-4830_1;surucu STP-DRV-4830 1;1;;zarf 45.0 × 60.3 × 28.0;ÜRETİM
surucu_STP-DRV-4830_2;surucu STP-DRV-4830 2;1;;zarf 45.0 × 60.3 × 28.0;ÜRETİM
surucu_STP-DRV-4830_3;surucu STP-DRV-4830 3;1;;zarf 45.0 × 60.3 × 28.0;ÜRETİM
surucu_STP-DRV-4830_4;surucu STP-DRV-4830 4;1;;zarf 45.0 × 60.3 × 28.0;ÜRETİM
surucu_STP-DRV-4830_5;surucu STP-DRV-4830 5;1;;zarf 45.0 × 60.3 × 28.0;ÜRETİM
surucu_STP-DRV-4830_6;surucu STP-DRV-4830 6;1;;zarf 45.0 × 60.3 × 28.0;ÜRETİM
klemens_sirasi;Klemens sırası Phoenix UT 2,5;40;;phoenixcontact.com;SATIN ALMA
kablo_kanali_0;Kablo kanalı 40 × 25;4;pano 2 + dikey 2;katalog;SATIN ALMA
kablo_kanali_1;kablo kanali 1;1;;zarf 700.0 × 40.0 × 25.0;ÜRETİM
kablo_kanali_dikey_alt;kablo kanali dikey alt;1;;zarf 25.0 × 1225.0 × 25.0;ÜRETİM
kablo_kanali_dikey_ust;kablo kanali dikey ust;1;;zarf 25.0 × 650.0 × 25.0;ÜRETİM
sensor_yigin_ustu;Fotosel Omron E3Z-D62;1;dağınık yansımalı · 1 m · PNP;omron.com E3Z · katalog ölçüsü;SATIN ALMA
sensor_blank_var;Fotosel Omron E3Z-D62;1;dağınık yansımalı · 1 m · PNP;omron.com E3Z · katalog ölçüsü;SATIN ALMA
sensor_kutu_dolu;Fotosel Omron E3Z-D62;1;dağınık yansımalı · 1 m · PNP;omron.com E3Z · katalog ölçüsü;SATIN ALMA
robot_catal_disi_0;robot catal disi 0;1;robot;zarf 26.0 × 8.0 × 424.0;ÜRETİM
robot_catal_disi_1;robot catal disi 1;1;robot;zarf 26.0 × 8.0 × 424.0;ÜRETİM
robot_catal_disi_2;robot catal disi 2;1;robot;zarf 26.0 × 8.0 × 424.0;ÜRETİM
robot_catal_govdesi;[R modülü] FR5 kutu çatalı — robot aletidir, E'ye dahil değil;0;3 diş 26 × 8 × 430;robot;SATIN ALMA
robot_flansi;robot flansi;1;robot;zarf 63.5 × 63.0 × 20.5;ÜRETİM
